ID,First Name,Last Name,Scrapped Name,Country,Birthdate,Died,Batting style,Bowling style
1028655,Pathum,Nissanka,P Nissanka,Sri Lanka,1998-05-18 00:00:00,Alive,Right-hand bat,
629074,Kusal,Mendis, BKG Mendis,Sri Lanka,1995-02-02 00:00:00,Alive,Right-hand bat,Legbreak
465793,Dhananjaya,de Silva,DM de Silva,Sri Lanka,1991-09-06 00:00:00,Alive,Right-hand bat,Right-arm offbreak
345821,Danushka,Gunathilaka,MD Gunathilaka,Sri Lanka,1991-03-17 00:00:00,Alive,Left-hand bat,Right-arm offbreak
342619,Bhanuka,Rajapaksa,PBB Rajapaksa,Sri Lanka,1991-10-24 00:00:00,Alive,Left-hand bat,Right-arm medium
437316,Dasun,Shanaka,MD Shanaka,Sri Lanka,1991-09-09 00:00:00,Alive,Right-hand bat,Right-arm medium
784379,Wanindu,Hasaranga,PWH de Silva,Sri Lanka,1997-07-29 00:00:00,Alive,Right-hand bat,Legbreak
623695,Chamika,Karunaratne,C Karunaratne,Sri Lanka,1996-05-29 00:00:00,Alive,Right-hand bat,Right-arm medium-fast
1138316,Maheesh,Theekshana,M Theekshana,Sri Lanka,2000-08-01 00:00:00,Alive,Right-hand bat,Right-arm offbreak
826689,Pramod,Madushan,PM Liyanagamage,Sri Lanka,1993-12-14 00:00:00,Alive,Right-hand bat,Right-arm medium-fast
793007,Dilshan,Madushanka,D Madushanka,Sri Lanka,2000-09-18 00:00:00,Alive,Right-hand bat,Left-arm medium-fast
307774,Mohammad,Rizwan,Mohammad Rizwan,Pakistan,1992-01-06 00:00:00,Alive,Right-hand bat,Right-arm medium
348144,Babar,Azam,Babar Azam,Pakistan,1994-10-15 00:00:00,Alive,Right-hand bat,Right-arm offbreak
512191,Fakhar,Zaman,Fakhar Zaman,Pakistan,1990-10-04 00:00:00,Alive,Left-hand bat,Slow left-arm orthodox
380558,Iftikhar,Ahmed,Iftikhar Ahmed,Pakistan,1990-03-09 00:00:00,Alive,Right-hand bat,Right-arm medium
41445,Mohammad,Nawaz,Mohammad Nawaz,Pakistan,1974-03-10 00:00:00,Alive,Right-hand bat,Right-arm offbreak
716733,Khushdil,Shah,Khushdil Shah,Pakistan,1995-07-02 00:00:00,Alive,Left-hand bat,Right-arm medium
1113618,Asif,Ali,Asif Ali,Pakistan,1991-01-10 00:00:00,Alive,Right-hand bat,Right-arm medium
34538,Shadab,Khan,Shadab Khan,Pakistan,1985-04-14 00:00:00,Alive,Right-hand bat,Right-arm medium
1161606,Haris,Rauf,Haris Rauf,Pakistan,1993-07-11 00:00:00,Alive,Right-hand bat,Right-arm medium-fast
1158088,Naseem,Shah,Naseem Shah,Pakistan,2003-02-15 00:00:00,Alive,Right-hand bat,Right-arm medium-fast
41437,Mohammad,Hasnain,Mohammad Hasnain,Pakistan,2064-03-24 00:00:00,Alive,Right-hand bat,"Right-arm medium, Right-arm offbreak"
307826,Hasan,Ali,Hasan Ali,Pakistan,,Alive,Right-hand bat,Right-arm medium
348152,Usman,Qadir,Usman Qadir,Pakistan,1993-10-08 00:00:00,Alive,Left-hand bat,Legbreak
629074,Kusal,Mendis,BKG Mendis,Sri Lanka,1995-02-02 00:00:00+00:00,Alive,Right-hand bat,Legbreak
233901,Shan,Masood,Shan Masood,Pakistan,1989-10-14 00:00:00,Alive,Left-hand bat,Right-arm medium-fast
387048,Haider,Ali,Haider Ali,Pakistan,2070-12-24 00:00:00,Alive,Right-hand bat,Right-arm medium-fast
1072470,Shaheen,Shah,Shaheen Shah Afridi,Pakistan,2000-04-06 00:00:00+00:00,Alive,Left-hand bat,Left-arm fast
422108,KL,Rahul,KL Rahul,India,1992-04-18 00:00:00,Alive,Right-hand bat,Right-arm medium
34102,Rohit,Sharma,RG Sharma,India,1987-04-30 00:00:00+00:00,Alive,Right-hand bat,Right-arm offbreak
253802,Virat,Kohli,V Kohli,India,1988-11-05 00:00:00+00:00,Alive,Right-hand bat,Right-arm medium
446507,Suryakumar,Yadav,SA Yadav,India,1990-09-14 00:00:00+00:00,Alive,Right-hand bat,Right-arm medium
554691,Axar,Patel,AR Patel,India,1994-01-20 00:00:00+00:00,Alive,Left-hand bat,Slow left-arm orthodox
625371,Hardik,Pandya,HH Pandya,India,1993-10-11 00:00:00+00:00,Alive,Right-hand bat,Right-arm medium-fast
30045,Dinesh,Karthik,KD Karthik,India,1985-06-01 00:00:00+00:00,Alive,Right-hand bat,Right-arm offbreak
26421,Ravichandran,Ashwin,R Ashwin,India,1986-09-17 00:00:00+00:00,Alive,Right-hand bat,Right-arm offbreak
481896,Mohammed,Shami,Mohammed Shami,India,1990-03-09 00:00:00,Alive,Right-hand bat,Right-arm fast-medium
326016,Bhuvneshwar,Kumar,B Kumar,India,1990-02-05 00:00:00+00:00,Alive,Right-hand bat,Right-arm medium
1125976,Arshdeep,Singh,Arshdeep Singh,India,1999-05-02 00:00:00,Alive,Left-hand bat,Left-arm medium-fast
1205559,Mohammad,Haris,Mohammad Haris,Pakistan,2001-03-30 00:00:00+00:00,Alive,Right-hand bat,Right-arm offbreak
1015499,Mohammad,Wasim,Mohammad Wasim,Pakistan,1993-06-23 00:00:00,Alive,Right-hand bat,Right-arm offbreak
308967,Jos,Buttler,JC Buttler,England,1990-09-08 00:00:00+00:00,Alive,Right-hand bat,
249866,Alex,Hales,AD Hales,England,1989-01-03 00:00:00+00:00,Alive,Right-hand bat,Right-arm medium
669365,Phil,Salt,PD Salt,England,1996-08-28 00:00:00+00:00,Alive,Right-hand bat,Right-arm offbreak
311158,Ben,Stokes,BA Stokes,England,1991-06-04 00:00:00+00:00,Alive,Left-hand bat,Right-arm fast-medium
911707,Harry,Brook,HC Brook,England,1999-02-22 00:00:00+00:00,Alive,Right-hand bat,Right-arm medium
8917,Moeen,Ali,MM Ali,England,1987-06-18 00:00:00+00:00,Alive,Left-hand bat,Right-arm offbreak
403902,Liam,Livingstone,LS Livingstone,England,1993-08-04 00:00:00+00:00,Alive,Right-hand bat,Legbreak
662973,Sam,Curran,SM Curran,England,1998-06-03 00:00:00+00:00,Alive,Left-hand bat,Left-arm medium-fast
247235,Chris,Woakes,CR Woakes,England,1989-03-02 00:00:00+00:00,Alive,Right-hand bat,Right-arm fast-medium
288992,Chris,Jordan,CJ Jordan,England,1988-10-04 00:00:00+00:00,Alive,Right-hand bat,Right-arm fast-medium
244497,Adil,Rashid,AU Rashid,England,1988-02-17 00:00:00+00:00,Alive,Right-hand bat,Legbreak
938959,Wessly,Madhevere,W Madhevere,Zimbabwe,2000-09-04 00:00:00+00:00,Alive,Right-hand bat,Right-arm offbreak
55412,Craig,Ervine,CR Ervine,Zimbabwe,1985-08-19 00:00:00+00:00,Alive,Left-hand bat,Right-arm offbreak
951781,Milton,Shumba,M Shumba,Zimbabwe,2000-10-19 00:00:00+00:00,Alive,Left-hand bat,Slow left-arm orthodox
55870,Sean,Williams,SC Williams,Zimbabwe,1986-09-26 00:00:00+00:00,Alive,Left-hand bat,Slow left-arm orthodox
299572,Sikandar,Raza,Sikandar Raza,Zimbabwe,1986-04-24 00:00:00,Alive,Right-hand bat,Right-arm offbreak
293831,Regis,Chakabva,RW Chakabva,Zimbabwe,1987-09-20 00:00:00+00:00,Alive,Right-hand bat,Right-arm offbreak
495964,Ryan,Burl,RP Burl,Zimbabwe,1994-04-15 00:00:00+00:00,Alive,Left-hand bat,Legbreak
541224,Luke,Jongwe,LM Jongwe,Zimbabwe,1995-02-06 00:00:00+00:00,Alive,Right-hand bat,Right-arm fast-medium
587791,B,Evans,B Evans,Zimbabwe,,Alive,Right-hand bat,Right-arm medium
806241,Richard,Ngarava,R Ngarava,Zimbabwe,1997-12-28 00:00:00+00:00,Alive,Left-hand bat,Left-arm fast-medium
827051,Blessing,Muzarabani,B Muzarabani,Zimbabwe,1996-10-02 00:00:00+00:00,Alive,Right-hand bat,Right-arm fast-medium
236489,Dawid,Malan,DJ Malan,England,1987-09-03 00:00:00+00:00,Alive,Left-hand bat,Legbreak
521637,Ben,Duckett,BM Duckett,England,1994-10-17 00:00:00+00:00,Alive,Left-hand bat,Right-arm offbreak
308251,David,Willey,DJ Willey,England,1990-02-28 00:00:00+00:00,Alive,Left-hand bat,Left-arm fast-medium
461632,Reece,Topley,RJW Topley,England,1994-02-21 00:00:00+00:00,Alive,Right-hand bat,Left-arm fast-medium
1203995,Shahnawaz,Dahani,Shahnawaz Dhani,Pakistan,1998-08-05 00:00:00+00:00,Alive,Right-hand bat,Right-arm fast-medium
573170,Luke,Wood,L Wood,England,1995-08-02 00:00:00+00:00,Alive,Left-hand bat,Left-arm fast-medium
473191,Richard,Gleeson,RJ Gleeson,England,1987-12-02 00:00:00+00:00,Alive,Right-hand bat,Right-arm fast-medium
211855,Liam,Dawson,LA Dawson,England,1990-03-01 00:00:00+00:00,Alive,Right-hand bat,Slow left-arm orthodox
897549,Will,Jacks,WG Jacks,England,1998-11-21 00:00:00+00:00,Alive,Right-hand bat,Right-arm offbreak
351588,Mark,Wood,MA Wood,England,1990-01-11 00:00:00+00:00,Alive,Right-hand bat,Right-arm fast
457279,Olly,Stone,OP Stone,England,1993-10-09 00:00:00+00:00,Alive,Right-hand bat,Right-arm fast
643197,Max,O'Dowd,MP O'Dowd,Netherlands,1994-03-04 00:00:00+00:00,Alive,Right-hand bat,Right-arm offbreak
44407,Wesley,Barresi,W Barresi,Netherlands,1984-05-03 00:00:00+00:00,Alive,Right-hand bat,Right-arm offbreak
1036191,Bas,de,BFW de Leede,Netherlands,1999-11-15 00:00:00+00:00,Alive,Right-hand bat,Right-arm fast-medium
