Bowler,Runs,Deliveries,MatchID,Inning
34538,28,24,1327281,0
41437,40,25,1327281,0
41445,3,6,1327281,0
380558,21,18,1327281,0
1158088,39,25,1327281,0
1161606,29,24,1327281,0
465793,4,6,1327281,1
623695,33,24,1327281,1
784379,27,24,1327281,1
793007,15,23,1327281,1
826689,30,28,1327281,1
1138316,24,25,1327281,1
26421,22,19,1298150,0
326016,19,27,1298150,0
481896,24,25,1298150,0
554691,21,6,1298150,0
625371,30,24,1298150,0
1125976,31,25,1298150,0
34538,21,24,1298150,1
41445,39,27,1298150,1
1072470,33,25,1298150,1
1158088,23,24,1298150,1
1161606,33,25,1298150,1
